modelname,time,accuracy,loss,test_accuracy,test_loss
conv-32-64-128-lin-512-2-model-1588007945,1588007945.532,0.45,0.2501,0.44,0.257
conv-32-64-128-lin-512-2-model-1588007945,1588007945.707,0.52,0.251,0.53,0.2494
conv-32-64-128-lin-512-2-model-1588007945,1588007945.867,0.51,0.2498,0.53,0.2494
conv-32-64-128-lin-512-2-model-1588007945,1588007946.022,0.51,0.2498,0.34,0.252
conv-32-64-128-lin-512-2-model-1588007945,1588007946.178,0.43,0.2516,0.44,0.256
conv-32-64-128-lin-512-2-model-1588007945,1588007946.337,0.59,0.2482,0.53,0.2485
conv-32-64-128-lin-512-2-model-1588007945,1588007946.493,0.65,0.233,0.53,0.2401
conv-32-64-128-lin-512-2-model-1588007945,1588007946.649,0.64,0.2358,0.47,0.265
conv-32-64-128-lin-512-2-model-1588007945,1588007946.805,0.55,0.2437,0.53,0.2489
conv-32-64-128-lin-512-2-model-1588007945,1588007946.962,0.5,0.2494,0.53,0.2553
conv-32-64-128-lin-512-2-model-1588007945,1588007947.118,0.61,0.2403,0.69,0.2365
conv-32-64-128-lin-512-2-model-1588007945,1588007947.273,0.47,0.252,0.31,0.2621
conv-32-64-128-lin-512-2-model-1588007945,1588007947.429,0.51,0.251,0.5,0.244
conv-32-64-128-lin-512-2-model-1588007945,1588007947.587,0.51,0.2396,0.56,0.2461
conv-32-64-128-lin-512-2-model-1588007945,1588007947.75,0.48,0.2453,0.56,0.2487
conv-32-64-128-lin-512-2-model-1588007945,1588007947.926,0.55,0.2345,0.84,0.1994
conv-32-64-128-lin-512-2-model-1588007945,1588007948.084,0.56,0.241,0.62,0.23
conv-32-64-128-lin-512-2-model-1588007945,1588007948.241,0.56,0.2439,0.69,0.226
conv-32-64-128-lin-512-2-model-1588007945,1588007948.396,0.53,0.2484,0.44,0.2648
conv-32-64-128-lin-512-2-model-1588007945,1588007948.552,0.56,0.2451,0.69,0.2435
conv-32-64-128-lin-512-2-model-1588007945,1588007948.708,0.6,0.2327,0.38,0.2712
conv-32-64-128-lin-512-2-model-1588007945,1588007948.864,0.6,0.2421,0.53,0.2445
conv-32-64-128-lin-512-2-model-1588007945,1588007949.027,0.61,0.2471,0.56,0.2516
conv-32-64-128-lin-512-2-model-1588007945,1588007949.195,0.67,0.2311,0.53,0.2465
conv-32-64-128-lin-512-2-model-1588007945,1588007949.374,0.57,0.2526,0.56,0.2735
conv-32-64-128-lin-512-2-model-1588007945,1588007949.542,0.51,0.256,0.5,0.2614
conv-32-64-128-lin-512-2-model-1588007945,1588007949.697,0.58,0.2426,0.5,0.2474
conv-32-64-128-lin-512-2-model-1588007945,1588007949.852,0.62,0.234,0.56,0.238
conv-32-64-128-lin-512-2-model-1588007945,1588007950.007,0.63,0.2368,0.59,0.2363
conv-32-64-128-lin-512-2-model-1588007945,1588007950.169,0.63,0.2347,0.66,0.2154
conv-32-64-128-lin-512-2-model-1588007945,1588007950.325,0.7,0.2271,0.72,0.1982
conv-32-64-128-lin-512-2-model-1588007945,1588007950.48,0.69,0.2149,0.69,0.2257
conv-32-64-128-lin-512-2-model-1588007945,1588007950.634,0.58,0.2404,0.56,0.2455
conv-32-64-128-lin-512-2-model-1588007945,1588007950.791,0.64,0.2305,0.56,0.2716
conv-32-64-128-lin-512-2-model-1588007945,1588007950.946,0.63,0.2361,0.72,0.2246
conv-32-64-128-lin-512-2-model-1588007945,1588007951.101,0.58,0.2345,0.53,0.2483
conv-32-64-128-lin-512-2-model-1588007945,1588007951.256,0.63,0.2261,0.47,0.2667
conv-32-64-128-lin-512-2-model-1588007945,1588007951.414,0.63,0.2342,0.75,0.2073
conv-32-64-128-lin-512-2-model-1588007945,1588007951.569,0.62,0.2266,0.56,0.2267
