modelname,time,epoch,accuracy,loss,test_accuracy,test_loss
conv-32-64-128-lin-512-2-model-1588009585,1588009585.912,0,0.52,0.2496,0.53,0.2497
conv-32-64-128-lin-512-2-model-1588009585,1588009586.084,0,0.52,0.2506,0.5,0.2506
conv-32-64-128-lin-512-2-model-1588009585,1588009586.253,0,0.51,0.2498,0.47,0.25
conv-32-64-128-lin-512-2-model-1588009585,1588009586.416,0,0.5,0.2503,0.47,0.2512
conv-32-64-128-lin-512-2-model-1588009585,1588009586.58,0,0.46,0.2511,0.5,0.2509
conv-32-64-128-lin-512-2-model-1588009585,1588009586.742,0,0.56,0.2485,0.47,0.252
conv-32-64-128-lin-512-2-model-1588009585,1588009586.904,0,0.68,0.2325,0.56,0.2456
conv-32-64-128-lin-512-2-model-1588009585,1588009587.063,0,0.63,0.2365,0.34,0.2733
conv-32-64-128-lin-512-2-model-1588009585,1588009587.222,0,0.57,0.2425,0.53,0.2447
conv-32-64-128-lin-512-2-model-1588009585,1588009587.381,0,0.52,0.2491,0.41,0.2472
conv-32-64-128-lin-512-2-model-1588009585,1588009587.543,0,0.6,0.2387,0.47,0.248
conv-32-64-128-lin-512-2-model-1588009585,1588009587.705,0,0.44,0.2537,0.66,0.2297
conv-32-64-128-lin-512-2-model-1588009585,1588009587.866,0,0.51,0.2517,0.56,0.2537
conv-32-64-128-lin-512-2-model-1588009585,1588009588.024,0,0.54,0.238,0.59,0.2529
conv-32-64-128-lin-512-2-model-1588009585,1588009588.184,0,0.61,0.2413,0.56,0.2487
conv-32-64-128-lin-512-2-model-1588009585,1588009588.345,0,0.55,0.2385,0.59,0.2491
conv-32-64-128-lin-512-2-model-1588009585,1588009588.506,0,0.55,0.2457,0.47,0.2562
conv-32-64-128-lin-512-2-model-1588009585,1588009588.666,0,0.55,0.2444,0.56,0.247
conv-32-64-128-lin-512-2-model-1588009585,1588009588.827,0,0.55,0.246,0.5,0.2338
conv-32-64-128-lin-512-2-model-1588009585,1588009588.988,0,0.51,0.2452,0.62,0.2469
conv-32-64-128-lin-512-2-model-1588009585,1588009589.148,0,0.58,0.2341,0.5,0.2417
